External_Id__c,Provider__r.External_Id__c,Credential_Type__c,Credential_Number__c,Issuing_Authority__c,Issued_Date__c,Expiration_Date__c,Status__c
FAC-2001-ACCRED,FAC-2001,Accreditation,ACC-2001,AAAHC,2023-06-01,2026-06-01,Expired
FAC-2001-FACLIC,FAC-2001,Facility_License,NY-FAC-2001,NY,2023-06-01,2026-06-01,Expired
FAC-2001-MAL,FAC-2001,Malpractice_Insurance,MP-FAC-2001,Coverys,2023-06-01,2026-06-01,Expired
FAC-2002-ACCRED,FAC-2002,Accreditation,ACC-2002,Joint Commission,2024-01-15,2027-01-15,Valid
FAC-2002-FACLIC,FAC-2002,Facility_License,CA-FAC-2002,CA,2024-01-15,2027-01-15,Valid
FAC-2002-MAL,FAC-2002,Malpractice_Insurance,MP-FAC-2002,Coverys,2024-01-15,2027-01-15,Valid
FAC-2003-ACCRED,FAC-2003,Accreditation,ACC-2003,Joint Commission,2023-03-01,2026-03-01,Expired
FAC-2003-FACLIC,FAC-2003,Facility_License,OH-FAC-2003,OH,2023-03-01,2026-09-15,Expiring_Soon
FAC-2003-MAL,FAC-2003,Malpractice_Insurance,MP-FAC-2003,Coverys,2023-03-01,2026-03-01,Expired
FAC-2004-ACCRED,FAC-2004,Accreditation,ACC-2004,CMS,2022-09-01,2025-09-01,Expired
FAC-2004-FACLIC,FAC-2004,Facility_License,TX-FAC-2004,TX,2022-09-01,2025-06-01,Expired
FAC-2004-MAL,FAC-2004,Malpractice_Insurance,MP-FAC-2004,Coverys,2022-09-01,2025-09-01,Expired
FAC-2005-ACCRED,FAC-2005,Accreditation,ACC-2005,Joint Commission,2024-05-01,2027-05-01,Valid
FAC-2005-FACLIC,FAC-2005,Facility_License,FL-FAC-2005,FL,2024-05-01,2027-05-01,Valid
FAC-2005-MAL,FAC-2005,Malpractice_Insurance,MP-FAC-2005,Coverys,2024-05-01,2027-05-01,Valid
FAC-2006-ACCRED,FAC-2006,Accreditation,ACC-2006,Joint Commission,2023-11-01,2026-11-01,Expiring_Soon
FAC-2006-CLIA,FAC-2006,CLIA,CLIA-2006,CMS,2023-11-01,2026-11-01,Expiring_Soon
FAC-2006-FACLIC,FAC-2006,Facility_License,NY-FAC-2006,NY,2023-11-01,2026-11-01,Expiring_Soon
FAC-2006-MAL,FAC-2006,Malpractice_Insurance,MP-FAC-2006,Coverys,2023-11-01,2026-11-01,Expiring_Soon
FAC-2007-ACCRED,FAC-2007,Accreditation,ACC-2007,Joint Commission,2025-01-01,2028-01-01,Valid
FAC-2007-FACLIC,FAC-2007,Facility_License,CA-FAC-2007,CA,2025-01-01,2028-01-01,Valid
FAC-2007-MAL,FAC-2007,Malpractice_Insurance,MP-FAC-2007,Coverys,2025-01-01,2028-01-01,Valid
FAC-2008-ACCRED,FAC-2008,Accreditation,ACC-2008,AAAHC,2022-08-01,2025-08-01,Expired
FAC-2008-FACLIC,FAC-2008,Facility_License,AZ-FAC-2008,AZ,2022-08-01,2025-08-01,Expired
FAC-2008-MAL,FAC-2008,Malpractice_Insurance,MP-FAC-2008,Coverys,2022-08-01,2025-08-01,Expired
PRV-1001-BOARD-endocrinology-ce-4234f62e,PRV-1001,Board_Certification,,American Board of Medical Specialties,2012-08-05,2022-08-05,Expired
PRV-1001-DEA-BH5667265,PRV-1001,DEA,BH5667265,DEA,,2026-09-15,Expiring_Soon
PRV-1001-LIC-NY629903,PRV-1001,Medical_License,NY629903,NY,2010-09-02,2026-04-08,Expired
PRV-1001-MAL-MP-543143,PRV-1001,Malpractice_Insurance,MP-543143,MedPro Group,2024-01-07,2025-01-07,Expired
PRV-1002-BOARD-cardiology-certification,PRV-1002,Board_Certification,,American Board of Medical Specialties,2020-02-10,2030-02-10,Valid
PRV-1002-DEA-AD5855124,PRV-1002,DEA,AD5855124,DEA,,2022-10-12,Expired
PRV-1002-LIC-OH407419,PRV-1002,Medical_License,OH407419,OH,2012-10-19,2027-02-18,Valid
PRV-1002-MAL-MP-498591,PRV-1002,Malpractice_Insurance,MP-498591,ProAssurance,2024-03-22,2025-03-22,Expired
PRV-1003-BOARD-endocrinology-ce-0fe675b0,PRV-1003,Board_Certification,,American Board of Medical Specialties,2013-04-03,2023-04-03,Expired
PRV-1003-DEA-FG5491946,PRV-1003,DEA,FG5491946,DEA,,2022-05-12,Expired
PRV-1003-LIC-GA440035,PRV-1003,Medical_License,GA440035,GA,2016-01-21,2028-04-22,Valid
PRV-1003-MAL-MP-852787,PRV-1003,Malpractice_Insurance,MP-852787,NORCAL Group,2024-03-08,2025-03-08,Expired
PRV-1004-BOARD-endocrinology-ce-76bf3571,PRV-1004,Board_Certification,,American Board of Medical Specialties,2023-01-25,2033-01-25,Valid
PRV-1004-LIC-TX634277,PRV-1004,Medical_License,TX634277,TX,2018-12-16,2027-04-05,Valid
PRV-1004-MAL-MP-757924,PRV-1004,Malpractice_Insurance,MP-757924,The Doctors Company,2024-02-18,2025-02-18,Expired
PRV-1005-BOARD-radiology-certification,PRV-1005,Board_Certification,,American Board of Medical Specialties,2022-03-05,2032-03-05,Valid
