External_Id__c,Provider__r.External_Id__c,Address_Type__c,Line1__c,Line2__c,City__c,State__c,Postal_Code__c,Country__c,Is_Primary__c
FAC-2001-ADDR-MAIL,FAC-2001,Mailing,760 Campus Drive,Attn Credentialing,Albany,NY,12207,US,false
FAC-2001-ADDR-WORK,FAC-2001,Work,760 Campus Drive,,Albany,NY,12207,US,true
FAC-2002-ADDR-MAIL,FAC-2002,Mailing,761 Campus Drive,Attn Credentialing,Sacramento,CA,95814,US,false
FAC-2002-ADDR-WORK,FAC-2002,Work,761 Campus Drive,,Sacramento,CA,95814,US,true
FAC-2003-ADDR-MAIL,FAC-2003,Mailing,762 Campus Drive,Attn Credentialing,Columbus,OH,43215,US,false
FAC-2003-ADDR-WORK,FAC-2003,Work,762 Campus Drive,,Columbus,OH,43215,US,true
FAC-2004-ADDR-MAIL,FAC-2004,Mailing,763 Campus Drive,Attn Credentialing,Austin,TX,78701,US,false
FAC-2004-ADDR-WORK,FAC-2004,Work,763 Campus Drive,,Austin,TX,78701,US,true
FAC-2005-ADDR-MAIL,FAC-2005,Mailing,764 Campus Drive,Attn Credentialing,Tallahassee,FL,32301,US,false
FAC-2005-ADDR-WORK,FAC-2005,Work,764 Campus Drive,,Tallahassee,FL,32301,US,true
FAC-2006-ADDR-MAIL,FAC-2006,Mailing,765 Campus Drive,Attn Credentialing,Albany,NY,12207,US,false
FAC-2006-ADDR-WORK,FAC-2006,Work,765 Campus Drive,,Albany,NY,12207,US,true
FAC-2007-ADDR-MAIL,FAC-2007,Mailing,766 Campus Drive,Attn Credentialing,Sacramento,CA,95814,US,false
FAC-2007-ADDR-WORK,FAC-2007,Work,766 Campus Drive,,Sacramento,CA,95814,US,true
FAC-2008-ADDR-MAIL,FAC-2008,Mailing,767 Campus Drive,Attn Credentialing,Phoenix,AZ,85004,US,false
FAC-2008-ADDR-WORK,FAC-2008,Work,767 Campus Drive,,Phoenix,AZ,85004,US,true
PRV-1001-ADDR-HOME,PRV-1001,Home,293 Oak Street,,Albany,NY,12207,US,true
PRV-1001-ADDR-MAIL,PRV-1001,Mailing,293 Oak Street,,Albany,NY,12207,US,false
PRV-1001-ADDR-WORK,PRV-1001,Work,593 Medical Parkway,Suite 200,Albany,NY,12207,US,false
PRV-1002-ADDR-HOME,PRV-1002,Home,294 Oak Street,,Columbus,OH,43215,US,true
PRV-1002-ADDR-MAIL,PRV-1002,Mailing,294 Oak Street,,Columbus,OH,43215,US,false
PRV-1002-ADDR-WORK,PRV-1002,Work,594 Medical Parkway,Suite 200,Columbus,OH,43215,US,false
PRV-1003-ADDR-HOME,PRV-1003,Home,295 Oak Street,Apt 16,Phoenix,AZ,85004,US,true
PRV-1003-ADDR-MAIL,PRV-1003,Mailing,295 Oak Street,Apt 16,Phoenix,AZ,85004,US,false
PRV-1003-ADDR-WORK,PRV-1003,Work,595 Medical Parkway,Suite 200,Phoenix,AZ,85004,US,false
PRV-1004-ADDR-HOME,PRV-1004,Home,296 Oak Street,,Austin,TX,78701,US,true
